Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Netherlands,2020-03-31,11750,721.56,0,864,0.073531915,0,0
Netherlands,2020-04-01,12595,773.46,0,1039,0.08249305279872965,845,175
Netherlands,2020-04-02,13614,836.03,0,1173,0.08616130453944469,1019,134
Netherlands,2020-04-03,14697,902.54,0,1339,0.09110702864530176,1083,166
Netherlands,2020-04-07,18803,1077.47,0,1867,0.09929266606392596,4106,528
Netherlands,2020-04-10,21762,1247.03,0,2396,0.11010017461630364,2959,529
Netherlands,2020-04-11,23097,1323.53,0,2511,0.10871541758669956,1335,115
Netherlands,2020-04-12,24413,1398.94,0,2643,0.10826199156187276,1316,132
Netherlands,2020-04-14,26551,1521.46,0,2823,0.10632367895747806,2138,180
Netherlands,2020-04-17,29214,1674.06,0,3315,0.11347299240090368,2663,492
Netherlands,2020-04-18,30449,1744.83,0,3459,0.11359978981247333,1235,144
Netherlands,2020-04-20,32655,1871.24,0,3684,0.11281580156178228,2206,225
Netherlands,2020-04-22,34134,1955.99,0,3916,0.11472432179059006,1479,232
Netherlands,2020-04-23,34842,1996.56,0,4054,0.11635382584237415,708,138
Netherlands,2020-04-24,35729,2047.39,0,4177,0.11690783397240335,887,123
Netherlands,2020-04-25,36535,2093.57,0,4289,0.11739427945805392,806,112
Netherlands,2020-04-26,37190,2131.11,0,4409,0.11855337456305458,655,120
Netherlands,2020-04-27,37845,2168.64,0,4475,0.1182454749636676,655,66
Netherlands,2020-04-28,38245,2191.56,0,4518,0.118133089292718,400,43
Netherlands,2020-04-29,38416,2201.36,0,4566,0.11885672636401501,171,48
Netherlands,2020-04-30,38416,2201.36,0,4566,0.11885672636401501,0,0
Netherlands,2020-05-01,39316,2253.0,0,4795,0.12196052497710855,900,229
Netherlands,2020-05-02,39791,2280.0,0,4893,0.12296750521474704,475,98
Netherlands,2020-05-03,40236,2306.0,0,4987,0.12394373198131027,445,94
Netherlands,2020-05-04,40571,2325.0,0,5056,0.1246210347292401,335,69
Netherlands,2020-05-05,40770,2336.0,0,5082,0.1246504782928624,199,26
Netherlands,2020-05-06,41087,2354.0,0,5168,0.12578187747949476,317,86
Netherlands,2020-05-07,41319,2368.0,0,5204,0.1259469009414555,232,36
Netherlands,2020-05-08,41774,2394.0,0,5288,0.1265859146837746,455,84
Netherlands,2020-05-09,42093,2412.0,0,5359,0.12731333000736464,319,71
Netherlands,2020-05-10,42382,2429.0,0,5422,0.12793166910480866,289,63
Netherlands,2020-05-11,42627,2443.0,0,5440,0.1276186454594506,245,18
Netherlands,2020-05-12,42788,2452.0,0,5456,0.12751238665046274,161,16
Netherlands,2020-05-13,42984,2463.0,0,5510,0.12818723245858926,196,54
Netherlands,2020-05-15,43481,2492.0,0,5590,0.12856190060026218,497,80
Netherlands,2020-05-16,43681,2503.0,0,5643,0.1291866028708134,200,53
Netherlands,2020-05-17,43870,2514.0,0,5670,0.12924549806245725,189,27
Netherlands,2020-05-18,43995,2521.0,0,5680,0.12910558017956586,125,10
Netherlands,2020-05-19,44141,2529.0,0,5694,0.12899571826646428,146,14
Netherlands,2020-05-20,44249,2536.0,0,5715,0.12915546114036475,108,21
Netherlands,2020-05-21,44447,2547.0,0,5748,0.12932256395257272,198,33
Netherlands,2020-05-22,44700,2561.0,0,5775,0.12919463087248326,253,27
Netherlands,2020-05-23,44888,2572.0,0,5788,0.1289431473890572,188,13
Netherlands,2020-05-24,45064,2582.0,0,5811,0.12894993786614592,176,23
Netherlands,2020-05-25,45236,2592.0,0,5822,0.12870280307719514,172,11
Netherlands,2020-05-26,45445,2604.0,0,5830,0.12828694025745407,209,8
Netherlands,2020-05-27,45578,2612.0,0,5856,0.1284830400631884,133,26
Netherlands,2020-05-28,45768,2623.0,0,5871,0.12827739905610908,190,15
Netherlands,2020-05-29,45950,2633.0,0,5903,0.12846572361262246,182,32
Netherlands,2020-05-30,46126,2643.0,0,5931,0.12858257815548715,176,28
Netherlands,2020-05-31,46257,2651.0,0,5951,0.12865079879801974,131,20
Netherlands,2020-06-01,46442,2661.0,0,5956,0.1282459842384049,185,5
Netherlands,2020-06-02,46545,2667.0,0,5962,0.1280910946395961,103,6
Netherlands,2020-06-03,46647,2673.0,0,5967,0.1279,102,5
Netherlands,2020-06-04,46733,2678.0,0,5977,0.1279,86,10
Netherlands,2020-06-05,46942,2690.0,0,5990,0.1276,209,13
Netherlands,2020-06-06,47152,2702.0,0,6005,0.1274,210,15
Netherlands,2020-06-07,47335,2712.0,0,6011,0.127,183,6
Netherlands,2020-06-08,47574,2726.0,0,6013,0.1264,239,2
Netherlands,2020-06-09,47739,2736.0,0,6016,0.126,165,3
Netherlands,2020-06-10,47903,2745.0,0,6031,0.1259,164,15
Netherlands,2020-06-12,48251,2765.0,0,6044,0.1253,348,13
Netherlands,2020-06-13,48461,2777.0,0,6053,0.1249,210,9
Netherlands,2020-06-14,48640,2787.0,0,6057,0.1245,179,4
Netherlands,2020-06-15,48640,2787.0,0,6057,0.1245,0,0
Netherlands,2020-06-16,48948,2805.0,0,6065,0.1239,308,8
Netherlands,2020-06-17,49087,2813.0,0,6070,0.1237,139,5
Netherlands,2020-06-18,49204,2820.0,0,6074,0.1234,117,4
Netherlands,2020-06-19,49319,2826.0,0,6078,0.1232,115,4
Netherlands,2020-06-20,49426,2832.0,0,6081,0.12300000000000001,107,3
Netherlands,2020-06-21,49502,2837.0,0,6089,0.12300000000000001,76,8
Netherlands,2020-06-22,49593,2842.0,0,6090,0.1228,91,1
Netherlands,2020-06-23,49658,2846.0,0,6090,0.1226,65,0
Netherlands,2020-06-24,49722,2849.0,0,6095,0.1226,64,5
Netherlands,2020-06-25,49804,2854.0,0,6097,0.1224,82,2
Netherlands,2020-06-26,49914,2860.0,0,6100,0.1222,110,3
Netherlands,2020-06-27,50005,2865.0,0,6103,0.122,91,3
Netherlands,2020-06-28,50074,2869.0,0,6105,0.1219,69,2
Netherlands,2020-06-29,50147,2874.0,0,6105,0.1217,73,0
Netherlands,2020-06-30,50223,2878.0,0,6107,0.1216,76,2
Netherlands,2020-07-01,50273,2881.0,0,6113,0.1216,50,6
Netherlands,2020-07-02,50273,2881.0,0,6113,0.1216,0,0
Netherlands,2020-07-03,50335,2884.0,0,6109,0.1214,62,0
Netherlands,2020-07-04,50357,2886.0,0,6109,0.1213,22,0
Netherlands,2020-07-05,50432,2890.0,0,6111,0.1212,75,2
Netherlands,2020-07-06,50621,2901.0,0,6127,0.121,189,16
Netherlands,2020-07-07,50657,2903.0,0,6128,0.121,36,1
Netherlands,2020-07-09,50746,2908.0,0,6135,0.1209,89,7
Netherlands,2020-07-10,50749,2908.0,0,6137,0.1209,3,2
Netherlands,2020-07-11,50840,2913.0,0,6136,0.1207,91,0
Netherlands,2020-07-12,50840,2913.0,0,6136,0.1207,0,0
Netherlands,2020-07-13,50866,2915.0,0,6128,0.1205,26,0
Netherlands,2020-07-14,51308,2940.0,0,6156,0.12,442,28
Netherlands,2020-07-15,51146,2931.0,0,6135,0.12,0,0
Netherlands,2020-07-16,51146,2931.0,0,6135,0.12,0,0
Netherlands,2020-07-18,51146,2931.0,0,6135,0.12,0,0
Netherlands,2020-07-19,51581,2956.0,0,6136,0.11900000000000001,435,1
Netherlands,2020-07-19,51581,2956.0,0,6136,0.11900000000000001,0,0
Netherlands,2020-07-21,51910,2975.0,0,6136,0.1182,329,0
Netherlands,2020-07-22,52073,2984.0,0,6136,0.1178,163,0
Netherlands,2020-07-23,52242,2994.0,0,6139,0.1175,169,3
Netherlands,2020-07-24,52242,2994.0,0,6139,0.1175,0,0
Netherlands,2020-07-25,52595,3014.0,0,6139,0.1167,353,0
Netherlands,2020-07-26,52732,3022.0,0,6139,0.1164,137,0
Netherlands,2020-07-27,52946,3034.0,0,6139,0.1159,214,0
Netherlands,2020-07-28,53151,3046.0,0,6141,0.1155,205,2
Netherlands,2020-07-29,53374,3059.0,0,6145,0.1151,223,4
Netherlands,2020-07-30,53374,3059.0,0,6145,0.1151,0,0
Netherlands,2020-07-31,53621,3073.0,0,6147,0.1146,247,2
Netherlands,2020-08-01,54301,3112.0,0,6147,0.1132,680,0
Netherlands,2020-08-02,54732,3136.0,0,6148,0.1123,431,1
Netherlands,2020-08-03,55098,3157.0,0,6149,0.1116,366,1
Netherlands,2020-08-04,55098,3157.0,0,6149,0.1116,0,0
Netherlands,2020-08-05,55470,3179.0,0,6149,0.1109,372,0
Netherlands,2020-08-06,56381,3231.0,0,6153,0.1091,911,4
Netherlands,2020-08-07,56381,3231.0,0,6153,0.1091,0,0
Netherlands,2020-08-08,56982,3265.0,0,6153,0.10800000000000001,601,0
Netherlands,2020-08-09,57987,3323.0,0,6157,0.1062,1005,4
Netherlands,2020-08-10,58564,3356.0,0,6157,0.1051,577,0
Netherlands,2020-08-11,59194,3392.0,0,6157,0.10400000000000001,630,0
Netherlands,2020-08-12,59973,3437.0,0,6159,0.1027,779,2
Netherlands,2020-08-13,59973,3437.0,0,6159,0.1027,0,0
Netherlands,2020-08-14,60627,3474.0,0,6161,0.1016,654,2
Netherlands,2020-08-15,61840,3544.0,0,6167,0.0997,1213,6
Netherlands,2020-08-16,62495,3581.0,0,6169,0.0987,655,2
Netherlands,2020-08-17,63002,3610.0,0,6172,0.098,507,3
Netherlands,2020-08-18,63002,3610.0,0,6172,0.098,0,0
Netherlands,2020-08-19,63973,3666.0,0,6175,0.0965,971,3
